player_id,player_name,citizenship,position,main_position
49374,Hamza Bencherif (49374),Algeria  France,Defender - Centre-Back,Defender
493692,Jasur Yakhshiboev (493692),Uzbekistan,Attack - Right Winger,Attack
494279,Filip Smoljan (494279),Croatia  Bosnia-Herzegovina,Attack - Centre-Forward,Attack
494409,Boubacar Diaw (494409),Mali,Defender - Right-Back,Defender
49441,George Abbey (49441),Nigeria  Wales,Defender,Defender
49456,Akpo Sodje (49456),England  Nigeria,Attack - Centre-Forward,Attack
49462,Mikhail Bakaev (49462),Russia  Kazakhstan,Midfield - Defensive Midfield,Midfield
494667,Anıl Başaran (494667),Türkiye,Attack - Centre-Forward,Attack
494803,Cristian Shiba (494803),Albania  Italy,Defender - Centre-Back,Defender
494934,Diédié Traoré (494934),France  Mali,Defender - Left-Back,Defender
494933,Maï Traoré (494933),Guinea,Attack - Centre-Forward,Attack
495,Ünal Demirkıran (495),Germany  Türkiye,Midfield - Defensive Midfield,Midfield
495320,Martin Zlomislic (495320),Bosnia-Herzegovina  Croatia,Goalkeeper,Goalkeeper
